Module Title,Learning Outcome,Promoted skill,Promoted knowledge
Course_Business_Process_Management,Assess options for process improvement and innovation,"http://data.europa.eu/esco/skill/b9f16465-56a9-426b-a047-0f9f1f95ec92, http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041, http://data.europa.eu/esco/skill/8c4c49d4-9708-433f-8ca7-bf2c5211ee49, http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800, http://data.europa.eu/esco/skill/75b30aeb-34c0-40f4-b77d-271d75a98b14, http://data.europa.eu/esco/skill/8327754d-3990-4056-b07e-4faa49cfcd26",
Course_Business_Process_Management,Evaluate BPM-related decisions in organizations,"http://data.europa.eu/esco/skill/b9f16465-56a9-426b-a047-0f9f1f95ec92, http://data.europa.eu/esco/skill/be20d05c-f6b4-4580-9fcf-f00f4baab562, http://data.europa.eu/esco/skill/f60c9e52-95fc-4ca1-a73c-18a491153b63",
Course_Business_Process_Management,Present solutions to BPM cases effectively,"http://data.europa.eu/esco/skill/f263da7f-0708-42c2-b1a9-39083416f632, http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127, http://data.europa.eu/esco/skill/477173ca-5fc2-406b-9122-95d92811f284, http://data.europa.eu/esco/skill/c55caed2-de9e-4a25-819e-a0b0e83fba1b, http://data.europa.eu/esco/skill/5da73370-f6b9-417d-a94c-09bf01f84aa2",
Course_Business_Process_Management,Develop skills in process modeling and workflow management,"http://data.europa.eu/esco/skill/6a7792a9-888a-46ad-afc9-2c0d94c8fde6, http://data.europa.eu/esco/skill/901105f8-3a08-453e-b1dc-23619e317fd3, http://data.europa.eu/esco/skill/21fecc8a-392e-49ce-ac26-fb0696ccfead, http://data.europa.eu/esco/skill/12274664-b642-4945-b88f-d7787dc3c9dd, http://data.europa.eu/esco/skill/2c28fc20-8a60-4311-8899-5ef8729c05b3","http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5"
Course_Challenging_International_Managers_and_Leaders,Identify and describe key challenges of top managers and leaders,"http://data.europa.eu/esco/skill/b9f16465-56a9-426b-a047-0f9f1f95ec92, http://data.europa.eu/esco/skill/4ddf5204-95f5-4be2-ad35-571e2f493ae5, http://data.europa.eu/esco/skill/f60c9e52-95fc-4ca1-a73c-18a491153b63","http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5, http://data.europa.eu/esco/skill/bd698bbe-7003-4508-b422-46c2ff4d5e95, http://data.europa.eu/esco/skill/d5145a9a-602e-40bf-b3e1-f04cf9c3ef86"
Course_Challenging_International_Managers_and_Leaders,Incorporate scientific findings for improved leadership and change management,"http://data.europa.eu/esco/skill/3c03ee71-4a23-448f-b79e-81fd75d27dca, http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800, http://data.europa.eu/esco/skill/f7b5d916-52f0-4865-b6a6-e1a3b711cb5e","http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221, http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68, http://data.europa.eu/esco/skill/d5145a9a-602e-40bf-b3e1-f04cf9c3ef86, http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388"
Course_Challenging_International_Managers_and_Leaders,Critically reflect upon mental models and their impact on leadership challenges,"http://data.europa.eu/esco/skill/5592ab32-4e7a-4cda-8e64-ca36d5de8a10, http://data.europa.eu/esco/skill/4d30ad07-9e39-4899-81dd-02b280f162f9, http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041","http://data.europa.eu/esco/skill/df64a7cc-2e96-4304-95d3-56fe0ac2dd39, http://data.europa.eu/esco/skill/cdd8b6b2-2fd9-453c-8d62-8a1dc6efcd49"
Course_Challenging_International_Managers_and_Leaders,Present work articulately and convincingly,"http://data.europa.eu/esco/skill/c32ad607-0c4d-4e34-b73f-668298f7bf13, http://data.europa.eu/esco/skill/f263da7f-0708-42c2-b1a9-39083416f632, http://data.europa.eu/esco/skill/c55caed2-de9e-4a25-819e-a0b0e83fba1b",http://data.europa.eu/esco/skill/348b74cd-49ce-4844-8bdf-ec188b497213
Course_Challenging_International_Managers_and_Leaders,Develop concrete plans for future action to develop leadership skills,"http://data.europa.eu/esco/skill/8c4c49d4-9708-433f-8ca7-bf2c5211ee49, http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800, http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612","http://data.europa.eu/esco/skill/d5145a9a-602e-40bf-b3e1-f04cf9c3ef86, http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388"
Course_Challenging_International_Managers_and_Leaders,Diagnose organizational situations and develop shared understanding,"http://data.europa.eu/esco/skill/56042303-972b-41be-9310-58467599ff7e, http://data.europa.eu/esco/skill/9714735d-6f60-440b-bdbc-aaf45ebcbe78, http://data.europa.eu/esco/skill/6a7792a9-888a-46ad-afc9-2c0d94c8fde6","http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5, http://data.europa.eu/esco/skill/cdd8b6b2-2fd9-453c-8d62-8a1dc6efcd49"
Course_Challenging_International_Managers_and_Leaders,Develop innovative solutions with sound implementation plans,"http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041, http://data.europa.eu/esco/skill/8c4c49d4-9708-433f-8ca7-bf2c5211ee49, http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800","http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68, http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388"
Course_Challenging_International_Managers_and_Leaders,Engage in role-play to understand different perspectives,"http://data.europa.eu/esco/skill/5592ab32-4e7a-4cda-8e64-ca36d5de8a10, http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342, http://data.europa.eu/esco/skill/477173ca-5fc2-406b-9122-95d92811f284","http://data.europa.eu/esco/skill/269b8734-fa1d-4c6f-a843-523fa3bbae6e, http://data.europa.eu/esco/skill/38788a64-6271-40ff-9e0b-5644c38322ff"
Course_Challenging_International_Managers_and_Leaders,Analyze real-world case studies from various management areas,"http://data.europa.eu/esco/skill/b9f16465-56a9-426b-a047-0f9f1f95ec92, http://data.europa.eu/esco/skill/56042303-972b-41be-9310-58467599ff7e, http://data.europa.eu/esco/skill/27ed854c-15b8-4ba2-90e9-ae888a219703","http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5, http://data.europa.eu/esco/skill/bd698bbe-7003-4508-b422-46c2ff4d5e95"
Course_Challenging_International_Managers_and_Leaders,Understand challenges of adapting to complex and uncertain environments,"http://data.europa.eu/esco/skill/f5308e60-d763-4ead-be95-88c96fb3e02b, http://data.europa.eu/esco/skill/5592ab32-4e7a-4cda-8e64-ca36d5de8a10, http://data.europa.eu/esco/skill/1c08d63d-1c5e-4b9b-ad3e-f7ba7debb2d1","http://data.europa.eu/esco/skill/42cb7669-c371-4903-9c0b-13db67b2e4bb, http://data.europa.eu/esco/skill/79f24a62-7718-46e1-9b41-37be0560a5ca"
Course_Cloud_Computing,Understand different cloud service and deployment models,,"http://data.europa.eu/esco/skill/bd14968e-e409-45af-b362-3495ed7b10e0, http://data.europa.eu/esco/skill/67a118f4-8a5f-48f7-8e5f-de34b9ca2c37, http://data.europa.eu/esco/skill/f049d050-12da-4e40-813a-2b5eb6df6b51, http://data.europa.eu/esco/skill/63f0aa84-5e4c-4eb6-8e8c-876d9feedf1f"
Course_Cloud_Computing,Understand cloud challenges of security and integration with focus on hybrid and multi clouds,"http://data.europa.eu/esco/skill/c13fb093-5ffb-491a-b8b7-fa2d42a57e2e, http://data.europa.eu/esco/skill/14d1e367-3efe-4ec5-86ae-eca48710ee4e","http://data.europa.eu/esco/skill/1c2978b8-bb0d-4249-9c23-877571a4dffa, http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44, http://data.europa.eu/esco/skill/a4346013-a967-4a58-a533-6b32ad1364c5, http://data.europa.eu/esco/skill/adcca622-b933-4ba3-bc43-bf371879edc3, http://data.europa.eu/esco/skill/cdaf66a1-eaf3-4fef-af6e-2e9bbe2c326c"
Course_Cloud_Computing,Understand the process of defining cloud strategy,"http://data.europa.eu/esco/skill/248894d1-42dc-474f-af6e-2da52ac0c679, http://data.europa.eu/esco/skill/f7b5d916-52f0-4865-b6a6-e1a3b711cb5e",http://data.europa.eu/esco/skill/bd698bbe-7003-4508-b422-46c2ff4d5e95
Course_Cloud_Computing,Understand cloud selection and company preparation for cloud usage,"http://data.europa.eu/esco/skill/3cfa46e9-b7da-44ac-b09e-9596dffe0425, http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1",http://data.europa.eu/esco/skill/0da6cab1-0ee9-4391-a299-f71fbf21db56
Course_Cloud_Computing,Understand how cloud influences application development with focus on Microservices and DevOps,http://data.europa.eu/esco/skill/6b643893-0a1f-4f6c-83a1-e7eef75849b9,"http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221, http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4"
Course_Cloud_Computing,Understand how IT automation takes place,"http://data.europa.eu/esco/skill/ce8ae6ca-61d8-4174-b457-641de96cbff4, http://data.europa.eu/esco/skill/6195c5f7-a4fb-425d-a3dd-c4467c4471a3, http://data.europa.eu/esco/skill/38716afc-a93b-44ab-96cc-2ecf67edcf32",
Course_Cloud_Computing,Understand why cloud services are enablers of digitalization,,"http://data.europa.eu/esco/skill/737f8895-46df-4283-8f38-13f3f0fc3b77, http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582, http://data.europa.eu/esco/skill/42cb7669-c371-4903-9c0b-13db67b2e4bb"
Course_Cloud_Computing,Understand how cloud transforms IT,,"http://data.europa.eu/esco/skill/c453cf81-6197-428e-84c6-70c773b63f27, http://data.europa.eu/esco/skill/d0c6d77e-cb25-4770-bf77-2073fc5f7523, http://data.europa.eu/esco/skill/6fa1c2c0-a012-4ca0-9642-e01569ba322c"
Course_Cloud_Computing,Ability to use and work with services from the Azure platform,"http://data.europa.eu/esco/skill/6195c5f7-a4fb-425d-a3dd-c4467c4471a3, http://data.europa.eu/esco/skill/6b643893-0a1f-4f6c-83a1-e7eef75849b9, http://data.europa.eu/esco/skill/d3286405-49f8-4e8a-8046-a4376b4e7963",
Course_Cloud_Computing,Ability to define the cloud strategy of an organization,"http://data.europa.eu/esco/skill/248894d1-42dc-474f-af6e-2da52ac0c679, http://data.europa.eu/esco/skill/f7b5d916-52f0-4865-b6a6-e1a3b711cb5e",http://data.europa.eu/esco/skill/bd698bbe-7003-4508-b422-46c2ff4d5e95
Course_Cloud_Computing,Ability to identify how an enterprise gets prepared for cloud usage,http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1,http://data.europa.eu/esco/skill/0da6cab1-0ee9-4391-a299-f71fbf21db56
Course_Cloud_Computing,Ability to select and evaluate cloud services,http://data.europa.eu/esco/skill/3cfa46e9-b7da-44ac-b09e-9596dffe0425,http://data.europa.eu/esco/skill/bd14968e-e409-45af-b362-3495ed7b10e0
Course_Cloud_Computing,Ability to identify how cloud transforms enterprise IT,,"http://data.europa.eu/esco/skill/c453cf81-6197-428e-84c6-70c773b63f27, http://data.europa.eu/esco/skill/d0c6d77e-cb25-4770-bf77-2073fc5f7523, http://data.europa.eu/esco/skill/6fa1c2c0-a012-4ca0-9642-e01569ba322c"
Course_Cloud_Computing,Analyze appropriateness of cloud services for different areas,"http://data.europa.eu/esco/skill/3cfa46e9-b7da-44ac-b09e-9596dffe0425, http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328",http://data.europa.eu/esco/skill/bd14968e-e409-45af-b362-3495ed7b10e0
Course_Cloud_Computing,Judge the risks and benefits of cloud usage,http://data.europa.eu/esco/skill/1dd23dba-dd00-45ab-abf4-642902538317,"http://data.europa.eu/esco/skill/7f27f1ff-2e17-4b69-990e-c23334478313, http://data.europa.eu/esco/skill/1c2978b8-bb0d-4249-9c23-877571a4dffa, http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44"
Course_Cloud_Computing,Use models for communication between business and IT stakeholders,"http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127, http://data.europa.eu/esco/skill/477173ca-5fc2-406b-9122-95d92811f284, http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d","http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5"
Course_Cyber_Security_and_Cyber_Resilience,Explain comprehensively cyberspace risks and impacts facing CIOs and decision makers in enterprises,"http://data.europa.eu/esco/skill/e71c6cee-7247-49f4-829a-141c880ae938, http://data.europa.eu/esco/skill/370ebe1f-55a5-424f-a44e-f3c19222d63b, http://data.europa.eu/esco/skill/fe1c2b32-7fe9-4668-affa-07ff658a68cf, http://data.europa.eu/esco/skill/dad7e408-162f-46a4-8567-db560e19e2fc, http://data.europa.eu/esco/skill/f5dd06b8-5d17-4932-9d03-957d0c4f5051, http://data.europa.eu/esco/skill/1dd23dba-dd00-45ab-abf4-642902538317","http://data.europa.eu/esco/skill/7f27f1ff-2e17-4b69-990e-c23334478313, http://data.europa.eu/esco/skill/5898d99a-62a4-4e10-a2e3-0d815ce44248, http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44, http://data.europa.eu/esco/skill/60d48be0-4260-4b2e-85b9-aedff7a9b7d9, http://data.europa.eu/esco/skill/2ddb1226-1117-4eb4-ae65-3a2f5a5a3c80, http://data.europa.eu/esco/skill/7814e88f-c133-4c3b-b27f-857afa145d42, http://data.europa.eu/esco/skill/3ff589b7-68df-4ea5-ae41-b395bdb2378f, http://data.europa.eu/esco/skill/9a0d0abc-010d-440b-8242-7e31510471ba, http://data.europa.eu/esco/skill/11eebd42-44ab-401d-8a2c-bdb9fc9beb50, http://data.europa.eu/esco/skill/6eff134b-e34f-4d6e-a6e8-5e47cf2228d0, http://data.europa.eu/esco/skill/6f1edc19-191f-4ba5-a048-ee69aff05bab, http://data.europa.eu/esco/skill/5acf6408-e084-4202-9442-ffcf0119811c"
Course_Cyber_Security_and_Cyber_Resilience,"Understand requirements for transforming regulatory provisions, risk posture, and applying relevant frameworks and metrics","http://data.europa.eu/esco/skill/3d3ee5c3-4286-457f-9f76-1704011f7e11, http://data.europa.eu/esco/skill/1dae8445-12e5-423a-bb26-824010e299b9, http://data.europa.eu/esco/skill/14d1e367-3efe-4ec5-86ae-eca48710ee4e, http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40","http://data.europa.eu/esco/skill/e2103a1d-4a84-47a9-b4f7-774787573449, http://data.europa.eu/esco/skill/d3e9b00a-0891-4fa8-836d-8240ec3d2758, http://data.europa.eu/esco/skill/7814e88f-c133-4c3b-b27f-857afa145d42, http://data.europa.eu/esco/skill/3ff589b7-68df-4ea5-ae41-b395bdb2378f, http://data.europa.eu/esco/skill/9a0d0abc-010d-440b-8242-7e31510471ba, http://data.europa.eu/esco/skill/08fe5910-8c4c-4679-a988-eb2ded3c4909, http://data.europa.eu/esco/skill/3a5231a0-8c30-48ee-b671-08e2debd4441, http://data.europa.eu/esco/skill/6eff134b-e34f-4d6e-a6e8-5e47cf2228d0"
Course_Cyber_Security_and_Cyber_Resilience,Apply cyber security concepts and mechanisms in working contexts or cases,"http://data.europa.eu/esco/skill/e5b5053e-0ef6-4c4e-a3f2-42f955f4322c, http://data.europa.eu/esco/skill/acf0a78c-f4e3-4bd9-a5cc-9cf4791b3b95, http://data.europa.eu/esco/skill/bb2b4485-2bad-402f-8517-44bf7d9afff4, http://data.europa.eu/esco/skill/c13fb093-5ffb-491a-b8b7-fa2d42a57e2e, http://data.europa.eu/esco/skill/14d1e367-3efe-4ec5-86ae-eca48710ee4e, http://data.europa.eu/esco/skill/c2cbbccf-4ffd-4626-86e7-505b39c872a0","http://data.europa.eu/esco/skill/5898d99a-62a4-4e10-a2e3-0d815ce44248, http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44, http://data.europa.eu/esco/skill/3e23db60-0c3d-498a-a6ac-ffbed0ecb033, http://data.europa.eu/esco/skill/60d48be0-4260-4b2e-85b9-aedff7a9b7d9, http://data.europa.eu/esco/skill/6e4f75b4-c60f-4623-a9ba-760c8245753b, http://data.europa.eu/esco/skill/2ddb1226-1117-4eb4-ae65-3a2f5a5a3c80, http://data.europa.eu/esco/skill/7814e88f-c133-4c3b-b27f-857afa145d42, http://data.europa.eu/esco/skill/3ff589b7-68df-4ea5-ae41-b395bdb2378f, http://data.europa.eu/esco/skill/6f1edc19-191f-4ba5-a048-ee69aff05bab, http://data.europa.eu/esco/skill/5acf6408-e084-4202-9442-ffcf0119811c"
Course_Cyber_Security_and_Cyber_Resilience,Conduct awareness assessments and provide prioritized recommendations,"http://data.europa.eu/esco/skill/e71c6cee-7247-49f4-829a-141c880ae938, http://data.europa.eu/esco/skill/370ebe1f-55a5-424f-a44e-f3c19222d63b, http://data.europa.eu/esco/skill/fe1c2b32-7fe9-4668-affa-07ff658a68cf, http://data.europa.eu/esco/skill/dad7e408-162f-46a4-8567-db560e19e2fc, http://data.europa.eu/esco/skill/f5dd06b8-5d17-4932-9d03-957d0c4f5051, http://data.europa.eu/esco/skill/1dd23dba-dd00-45ab-abf4-642902538317","http://data.europa.eu/esco/skill/7f27f1ff-2e17-4b69-990e-c23334478313, http://data.europa.eu/esco/skill/5898d99a-62a4-4e10-a2e3-0d815ce44248, http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44, http://data.europa.eu/esco/skill/9a0d0abc-010d-440b-8242-7e31510471ba, http://data.europa.eu/esco/skill/11eebd42-44ab-401d-8a2c-bdb9fc9beb50, http://data.europa.eu/esco/skill/6eff134b-e34f-4d6e-a6e8-5e47cf2228d0, http://data.europa.eu/esco/skill/6f1edc19-191f-4ba5-a048-ee69aff05bab, http://data.europa.eu/esco/skill/5acf6408-e084-4202-9442-ffcf0119811c"
Course_Cyber_Security_and_Cyber_Resilience,Discuss cyber resilience concepts and ethical hacking,"http://data.europa.eu/esco/skill/08a3dcea-12de-447b-a3a5-aa657abc5e97, http://data.europa.eu/esco/skill/54d774a3-de3b-4425-b0d7-c03bc99a0937","http://data.europa.eu/esco/skill/5898d99a-62a4-4e10-a2e3-0d815ce44248, http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44, http://data.europa.eu/esco/skill/0ffdb6ac-03b5-4f1c-bfcc-3d9cb874fdf9, http://data.europa.eu/esco/skill/cef5c0f8-1e40-4c09-b6a7-aa7811849e5d, http://data.europa.eu/esco/skill/7814e88f-c133-4c3b-b27f-857afa145d42, http://data.europa.eu/esco/skill/3ff589b7-68df-4ea5-ae41-b395bdb2378f, http://data.europa.eu/esco/skill/9a0d0abc-010d-440b-8242-7e31510471ba, http://data.europa.eu/esco/skill/11eebd42-44ab-401d-8a2c-bdb9fc9beb50, http://data.europa.eu/esco/skill/6eff134b-e34f-4d6e-a6e8-5e47cf2228d0, http://data.europa.eu/esco/skill/6f1edc19-191f-4ba5-a048-ee69aff05bab, http://data.europa.eu/esco/skill/5acf6408-e084-4202-9442-ffcf0119811c"
Course_Cyber_Security_and_Cyber_Resilience,"Engage in self-directed learning using presentations, reference models, and best practices","http://data.europa.eu/esco/skill/37a438f3-e28c-4e32-83c5-299f047c1dc9, http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e, http://data.europa.eu/esco/skill/f715be1d-5fc4-49d3-82a5-0b8090d12849","http://data.europa.eu/esco/skill/5898d99a-62a4-4e10-a2e3-0d815ce44248, http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44, http://data.europa.eu/esco/skill/3e23db60-0c3d-498a-a6ac-ffbed0ecb033, http://data.europa.eu/esco/skill/60d48be0-4260-4b2e-85b9-aedff7a9b7d9, http://data.europa.eu/esco/skill/6e4f75b4-c60f-4623-a9ba-760c8245753b, http://data.europa.eu/esco/skill/2ddb1226-1117-4eb4-ae65-3a2f5a5a3c80, http://data.europa.eu/esco/skill/7814e88f-c133-4c3b-b27f-857afa145d42, http://data.europa.eu/esco/skill/3ff589b7-68df-4ea5-ae41-b395bdb2378f, http://data.europa.eu/esco/skill/9a0d0abc-010d-440b-8242-7e31510471ba, http://data.europa.eu/esco/skill/11eebd42-44ab-401d-8a2c-bdb9fc9beb50, http://data.europa.eu/esco/skill/6eff134b-e34f-4d6e-a6e8-5e47cf2228d0, http://data.europa.eu/esco/skill/6f1edc19-191f-4ba5-a048-ee69aff05bab, http://data.europa.eu/esco/skill/5acf6408-e084-4202-9442-ffcf0119811c"
Course_Cyber_Security_and_Cyber_Resilience,Perform exercises using a hacking lab,"http://data.europa.eu/esco/skill/08a3dcea-12de-447b-a3a5-aa657abc5e97, http://data.europa.eu/esco/skill/f4a85869-1855-45d5-a43c-7ee8cd451996, http://data.europa.eu/esco/skill/54d774a3-de3b-4425-b0d7-c03bc99a0937","http://data.europa.eu/esco/skill/557e9247-1a2d-4497-aa7f-0cded7768da1, http://data.europa.eu/esco/skill/58783f72-5098-4807-b1d1-954ec2ae94c4, http://data.europa.eu/esco/skill/8a30eb28-eca0-4ab6-8c05-32c47d3e0dd6, http://data.europa.eu/esco/skill/09cf2c34-6f93-4a19-a9f1-c0d866414bcc, http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386, http://data.europa.eu/esco/skill/7bf4539a-3f2e-4485-876b-1c9306b181af, http://data.europa.eu/esco/skill/50597e96-9b6a-4736-ac79-dd80f36c0269, http://data.europa.eu/esco/skill/2891f0dc-4426-4a9a-8fbb-db4fb0a66f91, http://data.europa.eu/esco/skill/f0010b93-5552-45cb-ad26-168c8168f319, http://data.europa.eu/esco/skill/1ce4cddd-4a74-458e-a2d4-152ca939475a, http://data.europa.eu/esco/skill/afd63e8c-a4e7-42d3-86c9-3b2dd549a353, http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436, http://data.europa.eu/esco/skill/baf1fadb-975a-42be-9744-d8ba02304d09, http://data.europa.eu/esco/skill/f2c26cd0-f823-4549-a418-f84d23131308, http://data.europa.eu/esco/skill/e79dab00-fe87-48f2-b8cc-f48b68bc7f35"
Course_Data_Governance_and_Information_Management,Understand the value of data as an asset for a company,,"http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378, http://data.europa.eu/esco/skill/48db96bf-3314-45c6-bad8-fdb6e20e5639, http://data.europa.eu/esco/skill/e9575f7f-053a-439e-8074-f93df3334e92, http://data.europa.eu/esco/skill/a4346013-a967-4a58-a533-6b32ad1364c5, http://data.europa.eu/esco/skill/cc7370dd-69fa-4c67-a96f-d4d135d38700, http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01, http://data.europa.eu/esco/skill/adcca622-b933-4ba3-bc43-bf371879edc3, http://data.europa.eu/esco/skill/a7f0fbe0-c546-4f30-8e41-34a58c64567e, http://data.europa.eu/esco/skill/65e58886-bd1e-4c5b-8ca5-8d9b353c8aa1, http://data.europa.eu/esco/skill/3ec2e4d6-7000-4905-bf1a-c5b1679416de, http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576, http://data.europa.eu/esco/skill/9ef0f3a0-9ce2-4ef1-a987-0366b5cb2dbe, http://data.europa.eu/esco/skill/ab1e97ed-2319-4293-a8b7-072d2648822f, http://data.europa.eu/esco/skill/b5c7e0dc-dda3-4790-a7d1-d6d8023b3089"
Course_Data_Governance_and_Information_Management,Understand challenges of good data management for improving products and services,"http://data.europa.eu/esco/skill/56042303-972b-41be-9310-58467599ff7e, http://data.europa.eu/esco/skill/b04f377b-ee80-4b38-aca1-19d266a23b17, http://data.europa.eu/esco/skill/17c9a790-5664-4673-8237-c4cf3c5a8da5, http://data.europa.eu/esco/skill/75b30aeb-34c0-40f4-b77d-271d75a98b14","http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9, http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53, http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c, http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5, http://data.europa.eu/esco/skill/0ee94c0a-3716-494a-95a2-dcbab9e58be2, http://data.europa.eu/esco/skill/bd698bbe-7003-4508-b422-46c2ff4d5e95"
Course_Data_Governance_and_Information_Management,Understand the need for data governance to enable data-driven innovations and process optimization,"http://data.europa.eu/esco/skill/54c9c155-9293-4329-8ed2-2e76e8b519d4, http://data.europa.eu/esco/skill/d53b04fb-1bbb-4a25-92f8-8ceb308d276f, http://data.europa.eu/esco/skill/5d9e766b-8f17-4e17-bfab-3bb0e0719791, http://data.europa.eu/esco/skill/2daec0e6-f0c1-43e8-8178-aedba99130ec, http://data.europa.eu/esco/skill/713fb616-118e-40bc-9366-4a69879a49d5","http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378, http://data.europa.eu/esco/skill/48db96bf-3314-45c6-bad8-fdb6e20e5639, http://data.europa.eu/esco/skill/e9575f7f-053a-439e-8074-f93df3334e92, http://data.europa.eu/esco/skill/cc7370dd-69fa-4c67-a96f-d4d135d38700, http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01, http://data.europa.eu/esco/skill/a56dec32-05ef-45de-a256-ee6741f356db, http://data.europa.eu/esco/skill/696e3b5b-8b61-45af-ae4c-3ab700f197ec, http://data.europa.eu/esco/skill/9a0d0abc-010d-440b-8242-7e31510471ba, http://data.europa.eu/esco/skill/11eebd42-44ab-401d-8a2c-bdb9fc9beb50"
Course_Data_Governance_and_Information_Management,Understand existing data regulations to be applied within companies,"http://data.europa.eu/esco/skill/3d3ee5c3-4286-457f-9f76-1704011f7e11, http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d, http://data.europa.eu/esco/skill/1dae8445-12e5-423a-bb26-824010e299b9","http://data.europa.eu/esco/skill/e2103a1d-4a84-47a9-b4f7-774787573449, http://data.europa.eu/esco/skill/d3e9b00a-0891-4fa8-836d-8240ec3d2758, http://data.europa.eu/esco/skill/7814e88f-c133-4c3b-b27f-857afa145d42, http://data.europa.eu/esco/skill/3ff589b7-68df-4ea5-ae41-b395bdb2378f, http://data.europa.eu/esco/skill/08fe5910-8c4c-4679-a988-eb2ded3c4909, http://data.europa.eu/esco/skill/a846cb9e-c152-41e7-bd34-45e7ff941e3b"
