Module Title,Learning Outcome,Promoted skill,Promoted knowledge
Course_Alignment_of_Business_and_IT,Understand the success factors for enterprise architecture management,,"http://data.europa.eu/esco/skill/737f8895-46df-4283-8f38-13f3f0fc3b77, http://data.europa.eu/esco/skill/c453cf81-6197-428e-84c6-70c773b63f27, http://data.europa.eu/esco/skill/6fa1c2c0-a012-4ca0-9642-e01569ba322c"
Course_Alignment_of_Business_and_IT,Understand the importance and role of models for communication between stakeholders from business and IT,,"http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5, http://data.europa.eu/esco/skill/38788a64-6271-40ff-9e0b-5644c38322ff, http://data.europa.eu/esco/skill/9136cbf1-7916-4f1c-bc9a-0318ee1d6016"
Course_Alignment_of_Business_and_IT,"Determine and model business model, digital business strategy, business architecture and application architecture using standard modeling methods","http://data.europa.eu/esco/skill/6a7792a9-888a-46ad-afc9-2c0d94c8fde6, http://data.europa.eu/esco/skill/b0096dc5-2e2d-4bc1-8172-05bf486c3968, http://data.europa.eu/esco/skill/ee3c1d54-f46a-43c7-a0f9-0ba3648164d0, http://data.europa.eu/esco/skill/a47d194d-0ffd-4aaa-b695-fbbe0255000e","http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5, http://data.europa.eu/esco/skill/bd698bbe-7003-4508-b422-46c2ff4d5e95, http://data.europa.eu/esco/skill/b0560439-14eb-41d1-aa53-1938efc24123, http://data.europa.eu/esco/skill/7193cb6d-8334-494f-86e5-21e6d03a47c3"
Course_Alignment_of_Business_and_IT,"Identify and realize architecture principles, particularly for sharing data and reusing services and functions","http://data.europa.eu/esco/skill/2857540c-180b-4208-9127-e94a01871966, http://data.europa.eu/esco/skill/a4a882a1-0263-4dd2-b29a-f0028cac2393, http://data.europa.eu/esco/skill/f7e2eb04-3e50-4561-bce1-7e51a1fec308, http://data.europa.eu/esco/skill/ee3c1d54-f46a-43c7-a0f9-0ba3648164d0","http://data.europa.eu/esco/skill/c453cf81-6197-428e-84c6-70c773b63f27, http://data.europa.eu/esco/skill/6fa1c2c0-a012-4ca0-9642-e01569ba322c"
Course_Alignment_of_Business_and_IT,Analyze appropriateness of enterprise architecture models,"http://data.europa.eu/esco/skill/7adb8473-bcc6-4ff8-9850-76d945d40092, http://data.europa.eu/esco/skill/9714735d-6f60-440b-bdbc-aaf45ebcbe78, http://data.europa.eu/esco/skill/17c9a790-5664-4673-8237-c4cf3c5a8da5","http://data.europa.eu/esco/skill/c453cf81-6197-428e-84c6-70c773b63f27, http://data.europa.eu/esco/skill/6fa1c2c0-a012-4ca0-9642-e01569ba322c"
Course_Alignment_of_Business_and_IT,Judge governance and organization of enterprise architecture management,"http://data.europa.eu/esco/skill/f2c63b7a-ed6c-4890-9f8c-7685d172624c, http://data.europa.eu/esco/skill/f60c9e52-95fc-4ca1-a73c-18a491153b63","http://data.europa.eu/esco/skill/c453cf81-6197-428e-84c6-70c773b63f27, http://data.europa.eu/esco/skill/6fa1c2c0-a012-4ca0-9642-e01569ba322c"
Course_Alignment_of_Business_and_IT,Analyze business situations to make decisions about business transformation and change projects,"http://data.europa.eu/esco/skill/56042303-972b-41be-9310-58467599ff7e, http://data.europa.eu/esco/skill/b04f377b-ee80-4b38-aca1-19d266a23b17, http://data.europa.eu/esco/skill/9714735d-6f60-440b-bdbc-aaf45ebcbe78, http://data.europa.eu/esco/skill/3c03ee71-4a23-448f-b79e-81fd75d27dca, http://data.europa.eu/esco/skill/75b30aeb-34c0-40f4-b77d-271d75a98b14","http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9, http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5, http://data.europa.eu/esco/skill/bd698bbe-7003-4508-b422-46c2ff4d5e95"
Course_Alignment_of_Business_and_IT,Use models for communication between stakeholders from business and IT,"http://data.europa.eu/esco/skill/f263da7f-0708-42c2-b1a9-39083416f632, http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127, http://data.europa.eu/esco/skill/477173ca-5fc2-406b-9122-95d92811f284, http://data.europa.eu/esco/skill/6a7792a9-888a-46ad-afc9-2c0d94c8fde6","http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5, http://data.europa.eu/esco/skill/9136cbf1-7916-4f1c-bc9a-0318ee1d6016, http://data.europa.eu/esco/skill/7193cb6d-8334-494f-86e5-21e6d03a47c3"
Course_Alignment_of_Business_and_IT,Prepare individually for lectures and apply methods in exercises,"http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612, http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e","http://data.europa.eu/esco/skill/7159e587-c7cb-4ec0-a662-03e1dee2cccb, http://data.europa.eu/esco/skill/ed3f3dba-3a35-4ed5-b113-67f4d10ef4c8"
Course_Applied_Computational_Intelligence,Model a real-world problem as a numerical optimization problem,"http://data.europa.eu/esco/skill/6a7792a9-888a-46ad-afc9-2c0d94c8fde6, http://data.europa.eu/esco/skill/fbafa41f-cd05-4109-a649-8b44d306d779, http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041","http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38, http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9, http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5, http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8, http://data.europa.eu/esco/skill/25df422a-bf0a-4f76-8631-d0be91cb8751, http://data.europa.eu/esco/skill/5be3d306-6cf1-4b49-aa1d-01651dd4ba4c, http://data.europa.eu/esco/skill/fae27053-8924-4bfd-b565-c9fe502044c9"
Course_Applied_Computational_Intelligence,Understand the optimization problem by identifying the problem model and the optimization method,"http://data.europa.eu/esco/skill/b9f16465-56a9-426b-a047-0f9f1f95ec92, http://data.europa.eu/esco/skill/56042303-972b-41be-9310-58467599ff7e, http://data.europa.eu/esco/skill/b04f377b-ee80-4b38-aca1-19d266a23b17, http://data.europa.eu/esco/skill/f28617ad-afdd-4041-814c-216153a38998, http://data.europa.eu/esco/skill/be48353d-25c7-4f86-bea9-7b9e248fbc6e","http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38, http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9, http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5, http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8, http://data.europa.eu/esco/skill/25df422a-bf0a-4f76-8631-d0be91cb8751, http://data.europa.eu/esco/skill/5be3d306-6cf1-4b49-aa1d-01651dd4ba4c, http://data.europa.eu/esco/skill/fae27053-8924-4bfd-b565-c9fe502044c9"
